Symbol,ShortName,IndustryName,PROVINCE,CITY,MAINBUSSINESS,Validated_Symbol
002150,通润装备,金属制品业,江苏省,常熟市,钢制工具箱、工具柜、工具车、钢制办公家具及其他薄板制品的生产、研发及销售。,002150.SZ
002151,北斗星通,计算机、通信和其他电子设备制造业,北京市,北京市,"面向高端专业应用领域，围绕卫星导航定位""产品+系统应用+运营服务""展开。主要包括：卫星导航定位产品、基于位置的信息系统应用和基于位置的运营服务三大业务。",002151.SZ
002152,广电运通,通用设备制造业,广东省,广州市,从事银行自动柜员机（ATM）等货币自动处理设备及相关系统软件的研发、生产、销售和服务。,002152.SZ
002153,石基信息,软件和信息技术服务业,北京市,北京市,主要从事酒店信息管理系统软件的开发与销售、系统集成、技术支持与服务业务。,002153.SZ
002154,报喜鸟,纺织服装、服饰业,浙江省,温州市,西服、衬衫等男士系列服饰产品的生产和销售,002154.SZ
002155,湖南黄金,有色金属矿采选业,湖南省,长沙市,金锑钨及其共（伴）生矿的勘探、开采、冶炼和加工,002155.SZ
002156,通富微电,计算机、通信和其他电子设备制造业,江苏省,南通市,主要从事集成电路的封装测试业务。,002156.SZ
002157,正邦科技,畜牧业,江西省,南昌市,畜禽饲料、水产饲料、预混料的生产和销售;畜禽及水产品育种、养殖、加工和销售等。,002157.SZ
002158,汉钟精机,通用设备制造业,上海市,上海市,螺杆式压缩机应用技术的研制开发、生产销售及售后服务。,002158.SZ
002159,三特索道,公共设施管理业,湖北省,武汉市,以风景区客运索道运输服务为主，辅以旅游景区和景观房地产开发。,002159.SZ
002160,常铝股份,有色金属冶炼及压延加工业,江苏省,常熟市,铝压延加工产品的研发、生产和销售,002160.SZ
002161,远望谷,计算机、通信和其他电子设备制造业,广东省,深圳市,超高频射频识别技术（RFID）开发及超高频射频识别系统产品的生产、销售。,002161.SZ
002162,悦心健康,非金属矿物制品业,上海市,上海市,制造和销售各种玻化砖和釉面砖。,002162.SZ
002163,海南发展,建筑装饰和其他建筑业,广东省,深圳市,建筑幕墙工程设计、施工和生产、销售幕墙玻璃制品、家电玻璃等，是一家集幕墙工程研发、设计、施工和幕墙玻璃制品生产、销售为一体、具备完整产业链的幕墙专业公司。,002163.SZ
002164,宁波东力,专用设备制造业,浙江省,宁波市,减速电机、齿轮箱等传动设备的设计、制造与销售。,002164.SZ
